mapping_id, reg_id, stmt_id, task_id, topic_score,core_score, aux_score,final_score
mid_3113, Eudralex2007_7.42, Eudralex2007_7.42_1, MarkingTask_302, 0.69055, 0.81896, 0.0, 0.81896
mid_3114, Eudralex2007_7.42, Eudralex2007_7.42_1, P101Task, 0.37224, 0.37971, 0.0, 0.37971
mid_3115, Eudralex2007_7.42, Eudralex2007_7.42_1, DataRecordingTask501, 0.73668, 0.4028, 0.0, 0.73668
mid_3116, Eudralex2007_7.42, Eudralex2007_7.42_1, IncidentRecordingTask401, 0.73668, 0.4028, 0.0, 0.73668
mid_3117, Eudralex2007_7.42, Eudralex2007_7.42_1, AspirinTabletMarkTask101, 0.36295, 0.81896, 0.0, 0.81896
mid_3118, Eudralex2007_7.42, Eudralex2007_7.42_1, AspirinTabletMarkTask102, 0.69055, 0.81896, 0.0, 0.81896
mid_3119, Eudralex2007_7.42, Eudralex2007_7.42_1, AspirinStorageTask101, 1.0, 1.0, 0.0, 1.0
mid_3120, Eudralex2007_7.42, Eudralex2007_7.42_1, ResultRecordingTask303, 0.73668, 0.63818, 0.0, 0.73668
mid_3121, Eudralex2007_7.42, Eudralex2007_7.42_1, StoringTask102, 1.0, 1.0, 0.0, 1.0
mid_3122, Eudralex2007_7.42, Eudralex2007_7.42_1, PurchasingTask102, 0.70494, 0.5, 0.0, 0.70494
mid_3123, Eudralex2007_7.42, Eudralex2007_7.42_1, ComplaintRecordingTask203, 0.73668, 0.4028, 0.0, 0.73668
mid_3124, Eudralex2007_7.42, Eudralex2007_7.42_1, STask303, 0.69363, 0.69363, 0.0, 0.69363
mid_3125, Eudralex2007_7.42, Eudralex2007_7.42_1, AcidPurchaseTask101, 0.69055, 0.5, 0.0, 0.69055
mid_3126, Eudralex2007_7.42, Eudralex2007_7.42_1, CleaningTask_301, 0.61594, 0.37971, 0.0, 0.61594
mid_3127, Eudralex2007_7.42, Eudralex2007_7.42_1, DisposingTask201, 0.30391, 0.19363, 0.0, 0.30391
mid_3128, Eudralex2007_7.42, Eudralex2007_7.42_1, CleaningTask_302, 0.61594, 0.37971, 0.0, 0.61594
mid_3129, Eudralex2007_7.42, Eudralex2007_7.42_1, ResultRecordingTask301, 0.73668, 0.63818, 0.0, 0.73668
mid_3130, Eudralex2007_7.42, Eudralex2007_7.42_1, P102Task, 0.61976, 0.37971, 0.0, 0.61976
mid_3131, Eudralex2007_7.42, Eudralex2007_7.42_1, MarkingTask_202, 0.77775, 0.81896, 0.0, 0.81896
mid_3132, Eudralex2007_7.42, Eudralex2007_7.42_1, ProtectingTask202, 0.69055, 0.5, 0.0, 0.69055
mid_3133, Eudralex2007_7.42, Eudralex2007_7.42_1, DataRecordingTask502, 0.73668, 0.4028, 0.0, 0.73668
mid_3134, Eudralex2007_7.42, Eudralex2007_7.42_1, P103Task, 0.61976, 0.37971, 0.0, 0.61976
mid_3135, Eudralex2007_7.42, Eudralex2007_7.42_1, MarkingTask_203, 0.77775, 0.81896, 0.0, 0.81896
mid_3136, Eudralex2007_7.42, Eudralex2007_7.42_1, CleaningTask_201, 0.39673, 0.37971, 0.0, 0.39673
mid_3137, Eudralex2007_7.42, Eudralex2007_7.42_1, CheckingTask402, 0.46714, 0.0, 0.0, 0.46714
mid_3138, Eudralex2007_7.42, Eudralex2007_7.42_1, CheckingTask403, 0.46714, 0.0, 0.0, 0.46714
mid_3139, Eudralex2007_7.42, Eudralex2007_7.42_1, S203Task, 0.87971, 0.87971, 0.0, 0.87971
mid_3140, Eudralex2007_7.42, Eudralex2007_7.42_1, MarkingTask_301, 0.69055, 0.81896, 0.0, 0.81896
mid_3141, Eudralex2007_7.42, Eudralex2007_7.42_1, CheckingTask401, 0.46714, 0.0, 0.0, 0.46714
mid_3142, Eudralex2007_7.42, Eudralex2007_7.42_1, DisposingTask202, 0.30391, 0.19363, 0.0, 0.30391
mid_3143, Eudralex2007_7.42, Eudralex2007_7.42_1, StoringTask104, 1.0, 1.0, 0.0, 1.0
mid_3144, Eudralex2007_7.42, Eudralex2007_7.42_1, S201Task, 0.87971, 0.87971, 0.0, 0.87971
mid_3145, Eudralex2007_7.42, Eudralex2007_7.42_1, CleaningTask_303, 0.61594, 0.37971, 0.0, 0.61594
